city,timestamp,temperature,season
New York,2010-01-01,4.945139150026377,winter
New York,2010-01-02,6.2817906815671,winter
New York,2010-01-03,0.8006784500031217,winter
New York,2010-01-04,0.5532225902723252,winter
New York,2010-01-05,-1.2662779969500324,winter
New York,2010-01-06,0.27034410599303843,winter
New York,2010-01-07,5.343987825726707,winter
New York,2010-01-08,-4.3977677624251985,winter
New York,2010-01-09,-0.42167550330266806,winter
New York,2010-01-10,-6.361132380882266,winter
New York,2010-01-11,-2.4766668567659558,winter
New York,2010-01-12,-5.7165538683895365,winter
New York,2010-01-13,-0.6861729259230421,winter
New York,2010-01-14,-1.1065399396048012,winter
New York,2010-01-15,6.697191079630017,winter
New York,2010-01-16,7.398170171124966,winter
New York,2010-01-17,2.515407354285566,winter
New York,2010-01-18,6.335258955426076,winter
New York,2010-01-19,-0.25463509506247745,winter
New York,2010-01-20,-6.043794671716127,winter
New York,2010-01-21,0.06267973847954769,winter
New York,2010-01-22,-3.816356237071259,winter
New York,2010-01-23,3.131537708048,winter
New York,2010-01-24,-1.2872198964602135,winter
New York,2010-01-25,8.1671918315729,winter
New York,2010-01-26,-3.0122909440993113,winter
New York,2010-01-27,4.98708922605264,winter
New York,2010-01-28,-3.994834260021591,winter
New York,2010-01-29,6.9193831632364065,winter
New York,2010-01-30,5.575030737398165,winter
New York,2010-01-31,0.6152999591877781,winter
New York,2010-02-01,2.271747249614282,winter
New York,2010-02-02,-0.1805071376491939,winter
New York,2010-02-03,-4.950252704928573,winter
New York,2010-02-04,-2.359656448353375,winter
New York,2010-02-05,-4.918494360190035,winter
New York,2010-02-06,-2.6884631163037276,winter
New York,2010-02-07,-2.7016362531429112,winter
New York,2010-02-08,5.539182031156208,winter
New York,2010-02-09,3.350449928442198,winter
New York,2010-02-10,1.8172842820897537,winter
New York,2010-02-11,-1.5081224747226036,winter
New York,2010-02-12,-4.791258742481597,winter
New York,2010-02-13,-8.398643378750316,winter
New York,2010-02-14,-5.275822365814191,winter
New York,2010-02-15,-14.961195363555511,winter
New York,2010-02-16,-1.8674898462538443,winter
New York,2010-02-17,-6.574889641737417,winter
New York,2010-02-18,2.2711274371690195,winter
New York,2010-02-19,-1.7646379614957048,winter
New York,2010-02-20,5.427254724018003,winter
New York,2010-02-21,-0.060298581224926304,winter
New York,2010-02-22,-1.1792813827677286,winter
New York,2010-02-23,-2.2559293671434406,winter
New York,2010-02-24,-5.423895170656799,winter
New York,2010-02-25,-5.0790737463982865,winter
New York,2010-02-26,-3.3766854496886136,winter
New York,2010-02-27,-0.6750517927897198,winter
New York,2010-02-28,0.21612073528436782,winter
New York,2010-03-01,3.730625809695441,spring
New York,2010-03-02,12.581142661269721,spring
New York,2010-03-03,7.506605958359169,spring
New York,2010-03-04,5.913705066842415,spring
New York,2010-03-05,11.448593176212901,spring
New York,2010-03-06,8.514618631580234,spring
New York,2010-03-07,8.085881066131451,spring
New York,2010-03-08,4.575522984608003,spring
New York,2010-03-09,13.038628545415646,spring
New York,2010-03-10,13.481669838905296,spring
New York,2010-03-11,1.3155080068369074,spring
New York,2010-03-12,5.372400526680759,spring
New York,2010-03-13,12.133813529986806,spring
New York,2010-03-14,12.132269127169486,spring
New York,2010-03-15,6.343979433885827,spring
New York,2010-03-16,3.667807537758969,spring
New York,2010-03-17,8.813294762454317,spring
New York,2010-03-18,11.368991902663296,spring
New York,2010-03-19,9.234526989889444,spring
New York,2010-03-20,11.004299394812623,spring
New York,2010-03-21,6.011455074557074,spring
New York,2010-03-22,2.4717879542629664,spring
New York,2010-03-23,9.69617894945471,spring
New York,2010-03-24,3.7228283028928777,spring
New York,2010-03-25,12.956751812457442,spring
New York,2010-03-26,14.413192461402202,spring
New York,2010-03-27,4.83337023271674,spring
New York,2010-03-28,10.248003379166388,spring
New York,2010-03-29,11.766921658897859,spring
New York,2010-03-30,12.688015226752224,spring
New York,2010-03-31,14.328945937308546,spring
New York,2010-04-01,-0.767250366312735,spring
New York,2010-04-02,6.7929586873809065,spring
New York,2010-04-03,-6.3711020596285195,spring
New York,2010-04-04,5.601043508484176,spring
